SalesOrderNumber;OrderDate;ProductKey;ResellerKey;EmployeeKey;SalesTerritoryKey;Quantity;Unit Price;Sales;Cost
SO48730;01/01/2019 00:00;221;676;285;5;2;$20,19;$40;$28
SO48730;01/01/2019 00:00;224;676;285;5;3;$5,19;$16;$16
SO48730;01/01/2019 00:00;233;676;285;5;5;$28,84;$144;$145
SO48730;01/01/2019 00:00;352;676;285;5;6;$1242,85;$7457;$6707
SO48730;01/01/2019 00:00;354;676;285;5;2;$1242,85;$2486;$2236
SO48730;01/01/2019 00:00;356;676;285;5;4;$1242,85;$4971;$4471
SO48730;01/01/2019 00:00;358;676;285;5;3;$1229,46;$3688;$3317
SO48730;01/01/2019 00:00;360;676;285;5;3;$1229,46;$3688;$3317
SO48730;01/01/2019 00:00;362;676;285;5;3;$1229,46;$3688;$3317
SO48730;01/01/2019 00:00;364;676;285;5;3;$647,99;$1944;$1795
SO48730;01/01/2019 00:00;365;676;285;5;2;$647,99;$1296;$1197
SO48730;01/01/2019 00:00;366;676;285;5;1;$647,99;$648;$598
SO48730;01/01/2019 00:00;367;676;285;5;6;$647,99;$3888;$3591
SO48730;01/01/2019 00:00;399;676;285;5;1;$33,77;$34;$25
SO48730;01/01/2019 00:00;420;676;285;5;1;$141,62;$142;$105
SO48730;01/01/2019 00:00;421;676;285;5;2;$196,33;$393;$291
SO48730;01/01/2019 00:00;428;676;285;5;3;$209,26;$628;$557
SO48730;01/01/2019 00:00;456;676;285;5;6;$44,99;$270;$186
SO48730;01/01/2019 00:00;458;676;285;5;1;$44,99;$45;$31
SO48730;01/01/2019 00:00;460;676;285;5;1;$53,99;$54;$37
SO48730;01/01/2019 00:00;469;676;285;5;12;$22,03;$264;$188
SO48730;01/01/2019 00:00;470;676;285;5;9;$22,79;$205;$141
SO48731;02/01/2019 00:00;323;622;281;3;4;$469,79;$1879;$1947
SO48731;02/01/2019 00:00;325;622;281;3;2;$469,79;$940;$973
SO48731;02/01/2019 00:00;327;622;281;3;2;$469,79;$940;$973
SO48731;02/01/2019 00:00;329;622;281;3;3;$469,79;$1409;$1460
SO48731;02/01/2019 00:00;333;622;281;3;4;$469,79;$1879;$1947
SO48732;03/01/2019 00:00;433;200;289;1;1;$324,45;$324;$300
SO48732;03/01/2019 00:00;453;200;289;1;1;$35,99;$36;$25
SO48732;03/01/2019 00:00;460;200;289;1;1;$53,99;$54;$37
SO48733;03/01/2019 00:00;366;337;292;7;1;$647,99;$648;$598
SO48733;03/01/2019 00:00;460;337;292;7;3;$53,99;$162;$111
SO48733;03/01/2019 00:00;469;337;292;7;3;$22,79;$68;$47
SO48734;05/01/2019 00:00;216;530;285;5;3;$20,19;$61;$42
SO48734;05/01/2019 00:00;221;530;285;5;2;$20,19;$40;$28
SO48734;05/01/2019 00:00;224;530;285;5;3;$5,19;$16;$16
SO48734;05/01/2019 00:00;233;530;285;5;3;$28,84;$87;$87
SO48734;05/01/2019 00:00;352;530;285;5;2;$1242,85;$2486;$2236
SO48734;05/01/2019 00:00;356;530;285;5;3;$1242,85;$3729;$3354
SO48734;05/01/2019 00:00;358;530;285;5;5;$1229,46;$6147;$5529
SO48734;05/01/2019 00:00;360;530;285;5;2;$1229,46;$2459;$2212
SO48734;05/01/2019 00:00;364;530;285;5;2;$647,99;$1296;$1197
SO48734;05/01/2019 00:00;365;530;285;5;3;$647,99;$1944;$1795
SO48734;05/01/2019 00:00;366;530;285;5;1;$647,99;$648;$598
SO48734;05/01/2019 00:00;367;530;285;5;3;$647,99;$1944;$1795
SO48734;05/01/2019 00:00;409;530;285;5;1;$209,26;$209;$186
SO48734;05/01/2019 00:00;420;530;285;5;1;$141,62;$142;$105
SO48734;05/01/2019 00:00;421;530;285;5;2;$196,33;$393;$291
SO48734;05/01/2019 00:00;428;530;285;5;2;$209,26;$419;$372
SO48734;05/01/2019 00:00;453;530;285;5;5;$35,99;$180;$124
SO48734;05/01/2019 00:00;456;530;285;5;5;$44,99;$225;$155
SO48734;05/01/2019 00:00;458;530;285;5;2;$44,99;$90;$62
SO48734;05/01/2019 00:00;460;530;285;5;4;$53,99;$216;$148
SO48734;05/01/2019 00:00;469;530;285;5;6;$22,79;$137;$94
SO48734;05/01/2019 00:00;470;530;285;5;4;$22,79;$91;$63
SO48735;05/01/2019 00:00;216;670;281;3;2;$20,19;$40;$28
SO48735;05/01/2019 00:00;221;670;281;3;6;$20,19;$121;$83
SO48735;05/01/2019 00:00;321;670;281;3;7;$469,79;$3289;$3407
SO48735;05/01/2019 00:00;323;670;281;3;8;$469,79;$3758;$3894
SO48735;05/01/2019 00:00;325;670;281;3;5;$469,79;$2349;$2434
SO48735;05/01/2019 00:00;327;670;281;3;5;$469,79;$2349;$2434
SO48735;05/01/2019 00:00;329;670;281;3;2;$469,79;$940;$973
SO48735;05/01/2019 00:00;331;670;281;3;3;$469,79;$1409;$1460
SO48735;05/01/2019 00:00;333;670;281;3;5;$469,79;$2349;$2434
SO48735;05/01/2019 00:00;335;670;281;3;5;$469,79;$2349;$2434
SO48735;05/01/2019 00:00;337;670;281;3;5;$469,79;$2349;$2434
SO48735;05/01/2019 00:00;341;670;281;3;5;$469,79;$2349;$2434
SO48735;05/01/2019 00:00;343;670;281;3;7;$469,79;$3289;$3407
SO48735;05/01/2019 00:00;368;670;281;3;2;$1466,01;$2932;$3038
SO48735;05/01/2019 00:00;369;670;281;3;5;$1466,01;$7330;$7594
SO48735;05/01/2019 00:00;370;670;281;3;5;$1466,01;$7330;$7594
SO48735;05/01/2019 00:00;371;670;281;3;2;$1308,94;$2618;$2641
SO48735;05/01/2019 00:00;373;670;281;3;1;$1308,94;$1309;$1321
SO48735;05/01/2019 00:00;375;670;281;3;5;$1308,94;$6545;$6603
SO48735;05/01/2019 00:00;377;670;281;3;7;$1308,94;$9163;$9245
SO48735;05/01/2019 00:00;379;670;281;3;3;$1308,94;$3927;$3962
SO48735;05/01/2019 00:00;381;670;281;3;2;$600,26;$1201;$1211
SO48735;05/01/2019 00:00;383;670;281;3;3;$600,26;$1801;$1817
SO48735;05/01/2019 00:00;385;670;281;3;6;$600,26;$3602;$3634
SO48735;05/01/2019 00:00;387;670;281;3;6;$600,26;$3602;$3634
SO48735;05/01/2019 00:00;389;670;281;3;3;$600,26;$1801;$1817
SO48736;05/01/2019 00:00;399;246;284;6;1;$33,77;$34;$25
SO48737;06/01/2019 00:00;335;491;287;4;1;$469,79;$470;$487
SO48737;06/01/2019 00:00;387;491;287;4;1;$600,26;$600;$606
SO48737;06/01/2019 00:00;460;491;287;4;6;$53,99;$324;$223
SO48738;06/01/2019 00:00;323;41;287;4;1;$469,79;$470;$487
SO48738;06/01/2019 00:00;325;41;287;4;3;$469,79;$1409;$1460
SO48738;06/01/2019 00:00;327;41;287;4;1;$469,79;$470;$487
SO48738;06/01/2019 00:00;333;41;287;4;2;$469,79;$940;$973
SO48739;06/01/2019 00:00;354;252;283;2;2;$1242,85;$2486;$2236
SO48739;06/01/2019 00:00;356;252;283;2;4;$1242,85;$4971;$4471
SO48739;06/01/2019 00:00;360;252;283;2;3;$1229,46;$3688;$3317
SO48739;06/01/2019 00:00;362;252;283;2;2;$1229,46;$2459;$2212
SO48739;06/01/2019 00:00;364;252;283;2;4;$647,99;$2592;$2394
SO48739;06/01/2019 00:00;365;252;283;2;2;$647,99;$1296;$1197
SO48739;06/01/2019 00:00;367;252;283;2;2;$647,99;$1296;$1197
SO48739;06/01/2019 00:00;399;252;283;2;1;$33,77;$34;$25
SO48739;06/01/2019 00:00;409;252;283;2;2;$209,26;$419;$372
SO48739;06/01/2019 00:00;420;252;283;2;1;$141,62;$142;$105
SO48739;06/01/2019 00:00;421;252;283;2;3;$196,33;$589;$436
SO48739;06/01/2019 00:00;428;252;283;2;1;$209,26;$209;$186
SO48739;06/01/2019 00:00;469;252;283;2;12;$22,03;$264;$188
SO48739;06/01/2019 00:00;470;252;283;2;5;$22,79;$114;$78
SO48740;08/01/2019 00:00;321;4;281;4;8;$469,79;$3758;$3894
SO48740;08/01/2019 00:00;323;4;281;4;7;$469,79;$3289;$3407
SO48740;08/01/2019 00:00;325;4;281;4;2;$469,79;$940;$973
SO48740;08/01/2019 00:00;327;4;281;4;4;$469,79;$1879;$1947
SO48740;08/01/2019 00:00;329;4;281;4;3;$469,79;$1409;$1460
SO48740;08/01/2019 00:00;331;4;281;4;5;$469,79;$2349;$2434
SO48740;08/01/2019 00:00;333;4;281;4;4;$469,79;$1879;$1947
SO48740;08/01/2019 00:00;335;4;281;4;7;$469,79;$3289;$3407
SO48740;08/01/2019 00:00;337;4;281;4;8;$469,79;$3758;$3894
SO48740;08/01/2019 00:00;339;4;281;4;2;$469,79;$940;$973
SO48740;08/01/2019 00:00;341;4;281;4;3;$469,79;$1409;$1460
SO48740;08/01/2019 00:00;343;4;281;4;4;$469,79;$1879;$1947
SO48740;08/01/2019 00:00;368;4;281;4;5;$1466,01;$7330;$7594
SO48740;08/01/2019 00:00;369;4;281;4;5;$1466,01;$7330;$7594
SO48740;08/01/2019 00:00;370;4;281;4;2;$1466,01;$2932;$3038
SO48740;08/01/2019 00:00;371;4;281;4;2;$1308,94;$2618;$2641
SO48740;08/01/2019 00:00;373;4;281;4;5;$1308,94;$6545;$6603
SO48740;08/01/2019 00:00;375;4;281;4;7;$1308,94;$9163;$9245
SO48740;08/01/2019 00:00;377;4;281;4;5;$1308,94;$6545;$6603
SO48740;08/01/2019 00:00;379;4;281;4;5;$1308,94;$6545;$6603
SO48740;08/01/2019 00:00;381;4;281;4;1;$600,26;$600;$606
SO48740;08/01/2019 00:00;383;4;281;4;3;$600,26;$1801;$1817
SO48740;08/01/2019 00:00;385;4;281;4;3;$600,26;$1801;$1817
SO48740;08/01/2019 00:00;387;4;281;4;1;$600,26;$600;$606
SO48740;08/01/2019 00:00;422;4;281;4;4;$67,54;$270;$200
SO48741;09/01/2019 00:00;263;290;289;1;1;$202,33;$202;$187
SO48741;09/01/2019 00:00;271;290;289;1;3;$202,33;$607;$561
SO48741;09/01/2019 00:00;286;290;289;1;2;$183,94;$368;$340
SO48741;09/01/2019 00:00;323;290;289;1;7;$469,79;$3289;$3407
SO48741;09/01/2019 00:00;325;290;289;1;8;$469,79;$3758;$3894
SO48741;09/01/2019 00:00;327;290;289;1;4;$469,79;$1879;$1947
SO48741;09/01/2019 00:00;329;290;289;1;3;$469,79;$1409;$1460
SO48741;09/01/2019 00:00;331;290;289;1;1;$469,79;$470;$487
SO48741;09/01/2019 00:00;335;290;289;1;1;$469,79;$470;$487
SO48741;09/01/2019 00:00;339;290;289;1;1;$469,79;$470;$487
SO48741;09/01/2019 00:00;343;290;289;1;3;$469,79;$1409;$1460
SO48741;09/01/2019 00:00;368;290;289;1;3;$1466,01;$4398;$4556
SO48741;09/01/2019 00:00;373;290;289;1;5;$1308,94;$6545;$6603
SO48741;09/01/2019 00:00;381;290;289;1;4;$600,26;$2401;$2423
SO48741;09/01/2019 00:00;383;290;289;1;7;$600,26;$4202;$4240
SO48741;09/01/2019 00:00;389;290;289;1;5;$600,26;$3001;$3028
SO48741;09/01/2019 00:00;422;290;289;1;2;$67,54;$135;$100
SO48741;09/01/2019 00:00;433;290;289;1;5;$324,45;$1622;$1501
SO48741;09/01/2019 00:00;445;290;289;1;2;$35,99;$72;$49
SO48741;09/01/2019 00:00;461;290;289;1;5;$53,99;$270;$186
SO48741;09/01/2019 00:00;462;290;289;1;3;$14,13;$42;$29
SO48742;10/01/2019 00:00;470;325;293;1;2;$22,79;$46;$31
SO48743;10/01/2019 00:00;409;673;282;1;3;$209,26;$628;$557
SO48744;10/01/2019 00:00;297;245;291;6;1;$736,15;$736;$654
SO48744;10/01/2019 00:00;308;245;291;6;2;$744,27;$1489;$1322
SO48744;10/01/2019 00:00;352;245;291;6;4;$1242,85;$4971;$4471
SO48744;10/01/2019 00:00;358;245;291;6;2;$1229,46;$2459;$2212
SO48744;10/01/2019 00:00;360;245;291;6;4;$1229,46;$4918;$4423
SO48744;10/01/2019 00:00;393;245;291;6;3;$137,69;$413;$306
SO48744;10/01/2019 00:00;395;245;291;6;11;$59,33;$653;$500
SO48744;10/01/2019 00:00;397;245;291;6;5;$24,29;$121;$90
SO48744;10/01/2019 00:00;399;245;291;6;7;$33,77;$236;$175
SO48744;10/01/2019 00:00;410;245;291;6;2;$36,45;$73;$54
SO48744;10/01/2019 00:00;420;245;291;6;3;$141,62;$425;$314
SO48744;10/01/2019 00:00;421;245;291;6;4;$196,33;$785;$581
SO48744;10/01/2019 00:00;427;245;291;6;4;$209,26;$837;$743
SO48744;10/01/2019 00:00;428;245;291;6;4;$209,26;$837;$743
SO48744;10/01/2019 00:00;469;245;291;6;2;$22,79;$46;$31
SO48745;10/01/2019 00:00;213;184;281;4;3;$20,19;$61;$42
SO48745;10/01/2019 00:00;216;184;281;4;2;$20,19;$40;$28
SO48745;10/01/2019 00:00;221;184;281;4;2;$20,19;$40;$28
SO48745;10/01/2019 00:00;224;184;281;4;8;$5,19;$42;$42
SO48745;10/01/2019 00:00;230;184;281;4;2;$28,84;$58;$58
SO48745;10/01/2019 00:00;233;184;281;4;6;$28,84;$173;$174
SO48745;10/01/2019 00:00;297;184;281;4;3;$736,15;$2208;$1961
SO48745;10/01/2019 00:00;308;184;281;4;1;$744,27;$744;$661
SO48745;10/01/2019 00:00;358;184;281;4;2;$1229,46;$2459;$2212
SO48745;10/01/2019 00:00;393;184;281;4;3;$137,69;$413;$306
SO48745;10/01/2019 00:00;395;184;281;4;6;$61,37;$368;$273
SO48745;10/01/2019 00:00;399;184;281;4;2;$33,77;$68;$50
SO48745;10/01/2019 00:00;410;184;281;4;2;$36,45;$73;$54
SO48745;10/01/2019 00:00;420;184;281;4;4;$141,62;$566;$419
SO48745;10/01/2019 00:00;427;184;281;4;3;$209,26;$628;$557
SO48745;10/01/2019 00:00;428;184;281;4;1;$209,26;$209;$186
SO48745;10/01/2019 00:00;447;184;281;4;5;$15,00;$75;$52
SO48745;10/01/2019 00:00;448;184;281;4;3;$11,99;$36;$25
SO48745;10/01/2019 00:00;456;184;281;4;6;$44,99;$270;$186
SO48745;10/01/2019 00:00;458;184;281;4;1;$44,99;$45;$31
SO48745;10/01/2019 00:00;460;184;281;4;2;$53,99;$108;$74
SO48745;10/01/2019 00:00;464;184;281;4;7;$14,13;$99;$68
SO48745;10/01/2019 00:00;470;184;281;4;4;$22,79;$91;$63
SO48746;11/01/2019 00:00;224;506;286;1;3;$5,19;$16;$16
SO48746;11/01/2019 00:00;233;506;286;1;4;$28,84;$115;$116
SO48746;11/01/2019 00:00;352;506;286;1;7;$1242,85;$8700;$7825
SO48746;11/01/2019 00:00;354;506;286;1;11;$1201,42;$13216;$12296
SO48746;11/01/2019 00:00;356;506;286;1;8;$1242,85;$9943;$8943
SO48746;11/01/2019 00:00;358;506;286;1;8;$1229,46;$9836;$8846
SO48746;11/01/2019 00:00;360;506;286;1;8;$1229,46;$9836;$8846
SO48746;11/01/2019 00:00;362;506;286;1;3;$1229,46;$3688;$3317
SO48746;11/01/2019 00:00;364;506;286;1;1;$647,99;$648;$598
SO48746;11/01/2019 00:00;365;506;286;1;2;$647,99;$1296;$1197
SO48746;11/01/2019 00:00;366;506;286;1;9;$647,99;$5832;$5386
SO48746;11/01/2019 00:00;367;506;286;1;9;$647,99;$5832;$5386
SO48746;11/01/2019 00:00;399;506;286;1;4;$33,77;$135;$100
SO48746;11/01/2019 00:00;420;506;286;1;6;$141,62;$850;$629
SO48746;11/01/2019 00:00;421;506;286;1;5;$196,33;$982;$726
SO48746;11/01/2019 00:00;428;506;286;1;2;$209,26;$419;$372
SO48746;11/01/2019 00:00;456;506;286;1;2;$44,99;$90;$62
SO48746;11/01/2019 00:00;458;506;286;1;2;$44,99;$90;$62
SO48746;11/01/2019 00:00;469;506;286;1;6;$22,79;$137;$94
SO48746;11/01/2019 00:00;470;506;286;1;9;$22,79;$205;$141
SO48747;12/01/2019 00:00;358;380;289;1;4;$1229,46;$4918;$4423
SO48747;12/01/2019 00:00;360;380;289;1;3;$1229,46;$3688;$3317
SO48747;12/01/2019 00:00;468;380;289;1;1;$22,79;$23;$16
SO48747;12/01/2019 00:00;469;380;289;1;1;$22,79;$23;$16
SO48747;12/01/2019 00:00;470;380;289;1;4;$22,79;$91;$63
SO48748;12/01/2019 00:00;358;183;281;3;1;$1229,46;$1229;$1106
SO48748;12/01/2019 00:00;468;183;281;3;2;$22,79;$46;$31
SO48748;12/01/2019 00:00;469;183;281;3;4;$22,79;$91;$63
SO48748;12/01/2019 00:00;470;183;281;3;8;$22,79;$182;$125
SO48749;12/01/2019 00:00;323;698;282;1;1;$469,79;$470;$487
SO48749;12/01/2019 00:00;325;698;282;1;2;$469,79;$940;$973
SO48749;12/01/2019 00:00;329;698;282;1;1;$469,79;$470;$487
SO48749;12/01/2019 00:00;343;698;282;1;3;$469,79;$1409;$1460
SO48750;13/01/2019 00:00;213;514;291;6;3;$20,19;$61;$42
SO48750;13/01/2019 00:00;216;514;291;6;5;$20,19;$101;$69
SO48750;13/01/2019 00:00;221;514;291;6;6;$20,19;$121;$83
SO48750;13/01/2019 00:00;224;514;291;6;1;$5,19;$5;$5
SO48750;13/01/2019 00:00;230;514;291;6;2;$28,84;$58;$58
SO48750;13/01/2019 00:00;233;514;291;6;4;$28,84;$115;$116
SO48750;13/01/2019 00:00;236;514;291;6;1;$28,84;$29;$29
SO48750;13/01/2019 00:00;254;514;291;6;2;$183,94;$368;$340
SO48750;13/01/2019 00:00;263;514;291;6;7;$202,33;$1416;$1310
SO48750;13/01/2019 00:00;265;514;291;6;4;$202,33;$809;$749
SO48750;13/01/2019 00:00;271;514;291;6;8;$202,33;$1619;$1497
SO48750;13/01/2019 00:00;273;514;291;6;5;$202,33;$1012;$936
SO48750;13/01/2019 00:00;286;514;291;6;3;$183,94;$552;$510
SO48750;13/01/2019 00:00;323;514;291;6;6;$469,79;$2819;$2920
SO48750;13/01/2019 00:00;325;514;291;6;3;$469,79;$1409;$1460
SO48750;13/01/2019 00:00;327;514;291;6;1;$469,79;$470;$487
SO48750;13/01/2019 00:00;329;514;291;6;3;$469,79;$1409;$1460
SO48750;13/01/2019 00:00;331;514;291;6;3;$469,79;$1409;$1460
SO48750;13/01/2019 00:00;333;514;291;6;6;$469,79;$2819;$2920
SO48750;13/01/2019 00:00;339;514;291;6;5;$469,79;$2349;$2434
SO48750;13/01/2019 00:00;343;514;291;6;15;$430,64;$6460;$7301
SO48750;13/01/2019 00:00;368;514;291;6;2;$1466,01;$2932;$3038
SO48750;13/01/2019 00:00;369;514;291;6;2;$1466,01;$2932;$3038
SO48750;13/01/2019 00:00;373;514;291;6;3;$1308,94;$3927;$3962
SO48750;13/01/2019 00:00;375;514;291;6;4;$1308,94;$5236;$5283
SO48750;13/01/2019 00:00;381;514;291;6;5;$600,26;$3001;$3028
SO48750;13/01/2019 00:00;383;514;291;6;6;$600,26;$3602;$3634
SO48750;13/01/2019 00:00;389;514;291;6;2;$600,26;$1201;$1211
SO48750;13/01/2019 00:00;415;514;291;6;2;$198,04;$396;$293
SO48750;13/01/2019 00:00;417;514;291;6;3;$324,45;$973;$900
SO48750;13/01/2019 00:00;422;514;291;6;4;$67,54;$270;$200
SO48750;13/01/2019 00:00;433;514;291;6;5;$324,45;$1622;$1501
SO48750;13/01/2019 00:00;435;514;291;6;4;$324,45;$1298;$1200
SO48750;13/01/2019 00:00;445;514;291;6;2;$35,99;$72;$49
SO48750;13/01/2019 00:00;447;514;291;6;5;$15,00;$75;$52
SO48750;13/01/2019 00:00;448;514;291;6;4;$11,99;$48;$33
SO48750;13/01/2019 00:00;453;514;291;6;3;$35,99;$108;$74
SO48750;13/01/2019 00:00;454;514;291;6;1;$35,99;$36;$25
SO48750;13/01/2019 00:00;456;514;291;6;5;$44,99;$225;$155
SO48750;13/01/2019 00:00;458;514;291;6;9;$44,99;$405;$278
SO48750;13/01/2019 00:00;459;514;291;6;5;$53,99;$270;$186
SO48750;13/01/2019 00:00;460;514;291;6;3;$53,99;$162;$111
SO48750;13/01/2019 00:00;462;514;291;6;5;$14,13;$71;$49
SO48750;13/01/2019 00:00;464;514;291;6;3;$14,13;$42;$29
SO48751;13/01/2019 00:00;216;618;283;2;2;$20,19;$40;$28
SO48751;13/01/2019 00:00;221;618;283;2;1;$20,19;$20;$14
SO48751;13/01/2019 00:00;224;618;283;2;4;$5,19;$21;$21
SO48751;13/01/2019 00:00;233;618;283;2;5;$28,84;$144;$145
SO48751;13/01/2019 00:00;321;618;283;2;2;$469,79;$940;$973
SO48751;13/01/2019 00:00;325;618;283;2;3;$469,79;$1409;$1460
SO48751;13/01/2019 00:00;327;618;283;2;3;$469,79;$1409;$1460
SO48751;13/01/2019 00:00;329;618;283;2;2;$469,79;$940;$973
SO48751;13/01/2019 00:00;331;618;283;2;3;$469,79;$1409;$1460
SO48751;13/01/2019 00:00;335;618;283;2;5;$469,79;$2349;$2434
SO48751;13/01/2019 00:00;337;618;283;2;2;$469,79;$940;$973
SO48751;13/01/2019 00:00;339;618;283;2;2;$469,79;$940;$973
SO48751;13/01/2019 00:00;341;618;283;2;1;$469,79;$470;$487
SO48751;13/01/2019 00:00;368;618;283;2;5;$1466,01;$7330;$7594
SO48751;13/01/2019 00:00;369;618;283;2;3;$1466,01;$4398;$4556
SO48751;13/01/2019 00:00;370;618;283;2;1;$1466,01;$1466;$1519
SO48751;13/01/2019 00:00;371;618;283;2;1;$1308,94;$1309;$1321
SO48751;13/01/2019 00:00;373;618;283;2;4;$1308,94;$5236;$5283
SO48751;13/01/2019 00:00;375;618;283;2;2;$1308,94;$2618;$2641
SO48751;13/01/2019 00:00;377;618;283;2;1;$1308,94;$1309;$1321
SO48751;13/01/2019 00:00;381;618;283;2;4;$600,26;$2401;$2423
SO48751;13/01/2019 00:00;383;618;283;2;4;$600,26;$2401;$2423
SO48751;13/01/2019 00:00;385;618;283;2;1;$600,26;$600;$606
SO48751;13/01/2019 00:00;387;618;283;2;1;$600,26;$600;$606
SO48751;13/01/2019 00:00;389;618;283;2;2;$600,26;$1201;$1211
SO48751;13/01/2019 00:00;456;618;283;2;1;$44,99;$45;$31
SO48751;13/01/2019 00:00;458;618;283;2;3;$44,99;$135;$93
SO48752;13/01/2019 00:00;367;440;285;5;1;$647,99;$648;$598
SO48753;13/01/2019 00:00;354;125;283;2;4;$1242,85;$4971;$4471
SO48753;13/01/2019 00:00;356;125;283;2;6;$1242,85;$7457;$6707
SO48753;13/01/2019 00:00;358;125;283;2;4;$1229,46;$4918;$4423
SO48753;13/01/2019 00:00;362;125;283;2;3;$1229,46;$3688;$3317
SO48753;13/01/2019 00:00;364;125;283;2;1;$647,99;$648;$598
SO48753;13/01/2019 00:00;365;125;283;2;3;$647,99;$1944;$1795
SO48753;13/01/2019 00:00;366;125;283;2;6;$647,99;$3888;$3591
SO48753;13/01/2019 00:00;367;125;283;2;2;$647,99;$1296;$1197
SO48753;13/01/2019 00:00;399;125;283;2;5;$33,77;$169;$125
SO48753;13/01/2019 00:00;420;125;283;2;1;$141,62;$142;$105
SO48753;13/01/2019 00:00;421;125;283;2;3;$196,33;$589;$436
SO48753;13/01/2019 00:00;428;125;283;2;2;$209,26;$419;$372
SO48753;13/01/2019 00:00;470;125;283;2;9;$22,79;$205;$141
SO48754;14/01/2019 00:00;213;442;291;6;6;$20,19;$121;$83
SO48754;14/01/2019 00:00;216;442;291;6;2;$20,19;$40;$28
SO48754;14/01/2019 00:00;221;442;291;6;4;$20,19;$81;$56
SO48754;14/01/2019 00:00;224;442;291;6;4;$5,19;$21;$21
SO48754;14/01/2019 00:00;230;442;291;6;1;$28,84;$29;$29
SO48754;14/01/2019 00:00;233;442;291;6;4;$28,84;$115;$116
SO48754;14/01/2019 00:00;236;442;291;6;4;$28,84;$115;$116
SO48754;14/01/2019 00:00;294;442;291;6;1;$744,27;$744;$661
SO48754;14/01/2019 00:00;297;442;291;6;1;$736,15;$736;$654
SO48754;14/01/2019 00:00;305;442;291;6;2;$736,15;$1472;$1307
SO48754;14/01/2019 00:00;308;442;291;6;2;$744,27;$1489;$1322
SO48754;14/01/2019 00:00;352;442;291;6;1;$1242,85;$1243;$1118
SO48754;14/01/2019 00:00;354;442;291;6;2;$1242,85;$2486;$2236
SO48754;14/01/2019 00:00;356;442;291;6;2;$1242,85;$2486;$2236
SO48754;14/01/2019 00:00;358;442;291;6;1;$1229,46;$1229;$1106
SO48754;14/01/2019 00:00;360;442;291;6;2;$1229,46;$2459;$2212
SO48754;14/01/2019 00:00;364;442;291;6;2;$647,99;$1296;$1197
SO48754;14/01/2019 00:00;365;442;291;6;1;$647,99;$648;$598
SO48754;14/01/2019 00:00;366;442;291;6;2;$647,99;$1296;$1197
SO48754;14/01/2019 00:00;367;442;291;6;2;$647,99;$1296;$1197
SO48754;14/01/2019 00:00;393;442;291;6;2;$137,69;$275;$204
SO48754;14/01/2019 00:00;397;442;291;6;1;$24,29;$24;$18
SO48754;14/01/2019 00:00;399;442;291;6;3;$33,77;$101;$75
SO48754;14/01/2019 00:00;409;442;291;6;5;$209,26;$1046;$929
SO48754;14/01/2019 00:00;410;442;291;6;2;$36,45;$73;$54
SO48754;14/01/2019 00:00;420;442;291;6;5;$141,62;$708;$524
SO48754;14/01/2019 00:00;421;442;291;6;3;$196,33;$589;$436
SO48754;14/01/2019 00:00;427;442;291;6;1;$209,26;$209;$186
SO48754;14/01/2019 00:00;428;442;291;6;3;$209,26;$628;$557
SO48754;14/01/2019 00:00;445;442;291;6;3;$35,99;$108;$74
SO48754;14/01/2019 00:00;447;442;291;6;5;$15,00;$75;$52
SO48754;14/01/2019 00:00;448;442;291;6;5;$11,99;$60;$41
SO48754;14/01/2019 00:00;453;442;291;6;3;$35,99;$108;$74
SO48754;14/01/2019 00:00;456;442;291;6;6;$44,99;$270;$186
SO48754;14/01/2019 00:00;458;442;291;6;4;$44,99;$180;$124
SO48754;14/01/2019 00:00;459;442;291;6;3;$53,99;$162;$111
SO48754;14/01/2019 00:00;460;442;291;6;3;$53,99;$162;$111
SO48754;14/01/2019 00:00;462;442;291;6;1;$14,13;$14;$10
SO48754;14/01/2019 00:00;464;442;291;6;3;$14,13;$42;$29
SO48754;14/01/2019 00:00;469;442;291;6;1;$22,79;$23;$16
SO48754;14/01/2019 00:00;470;442;291;6;4;$22,79;$91;$63
SO48755;14/01/2019 00:00;224;355;292;7;2;$5,19;$10;$10
SO48755;14/01/2019 00:00;233;355;292;7;2;$28,84;$58;$58
SO48755;14/01/2019 00:00;354;355;292;7;2;$1242,85;$2486;$2236
SO48755;14/01/2019 00:00;358;355;292;7;4;$1229,46;$4918;$4423
SO48755;14/01/2019 00:00;360;355;292;7;5;$1229,46;$6147;$5529
SO48755;14/01/2019 00:00;362;355;292;7;2;$1229,46;$2459;$2212
SO48755;14/01/2019 00:00;364;355;292;7;5;$647,99;$3240;$2992
SO48755;14/01/2019 00:00;365;355;292;7;2;$647,99;$1296;$1197
SO48755;14/01/2019 00:00;366;355;292;7;3;$647,99;$1944;$1795
SO48755;14/01/2019 00:00;367;355;292;7;1;$647,99;$648;$598
SO48755;14/01/2019 00:00;399;355;292;7;2;$33,77;$68;$50
SO48755;14/01/2019 00:00;409;355;292;7;1;$209,26;$209;$186
SO48755;14/01/2019 00:00;421;355;292;7;1;$196,33;$196;$145
SO48755;14/01/2019 00:00;428;355;292;7;2;$209,26;$419;$372
SO48755;14/01/2019 00:00;456;355;292;7;3;$44,99;$135;$93
