SalesOrderNumber;OrderDate;ProductKey;ResellerKey;EmployeeKey;SalesTerritoryKey;Quantity;Unit Price;Sales;Cost
SO45038;01/01/2018 00:00;212;442;288;6;2;$20,19;$40;$24
SO45038;01/01/2018 00:00;215;442;288;6;1;$20,19;$20;$12
SO45038;01/01/2018 00:00;218;442;288;6;2;$5,70;$11;$7
SO45038;01/01/2018 00:00;223;442;288;6;3;$5,19;$16;$17
SO45038;01/01/2018 00:00;229;442;288;6;1;$28,84;$29;$32
SO45038;01/01/2018 00:00;232;442;288;6;4;$28,84;$115;$127
SO45038;01/01/2018 00:00;292;442;288;6;2;$818,70;$1637;$1414
SO45038;01/01/2018 00:00;293;442;288;6;1;$722,59;$723;$624
SO45038;01/01/2018 00:00;304;442;288;6;2;$714,70;$1429;$1234
SO45038;01/01/2018 00:00;307;442;288;6;1;$722,59;$723;$624
SO45038;01/01/2018 00:00;344;442;288;6;2;$2039,99;$4080;$3824
SO45038;01/01/2018 00:00;346;442;288;6;4;$2039,99;$8160;$7649
SO45038;01/01/2018 00:00;347;442;288;6;1;$2039,99;$2040;$1912
SO45038;01/01/2018 00:00;349;442;288;6;2;$2024,99;$4050;$3796
SO45038;01/01/2018 00:00;350;442;288;6;2;$2024,99;$4050;$3796
SO45039;01/01/2018 00:00;253;227;288;6;1;$178,58;$179;$176
SO45039;01/01/2018 00:00;262;227;288;6;2;$183,94;$368;$363
SO45039;01/01/2018 00:00;264;227;288;6;2;$183,94;$368;$363
SO45039;01/01/2018 00:00;270;227;288;6;1;$183,94;$184;$181
SO45039;01/01/2018 00:00;272;227;288;6;2;$183,94;$368;$363
SO45039;01/01/2018 00:00;285;227;288;6;2;$178,58;$357;$352
SO45039;01/01/2018 00:00;314;227;288;6;1;$2146,96;$2147;$2171
SO45039;01/01/2018 00:00;315;227;288;6;5;$874,79;$4374;$4424
SO45039;01/01/2018 00:00;316;227;288;6;3;$874,79;$2624;$2654
SO45039;01/01/2018 00:00;317;227;288;6;5;$874,79;$4374;$4424
SO45039;01/01/2018 00:00;319;227;288;6;6;$874,79;$5249;$5308
SO45039;01/01/2018 00:00;322;227;288;6;2;$419,46;$839;$826
