SalesOrderNumber,OrderDate,ProductKey,ResellerKey,EmployeeKey,SalesTerritoryKey,Quantity,Unit Price,Sales,Cost
SO43659,2017-07-01 00:00:00,218,676,285,5,6,"$5,70",$34,$20
SO43659,2017-07-01 00:00:00,220,676,285,5,4,"$20,19",$81,$48
SO43659,2017-07-01 00:00:00,223,676,285,5,2,"$5,19",$10,$11
SO43659,2017-07-01 00:00:00,229,676,285,5,3,"$28,84",$87,$95
SO43659,2017-07-01 00:00:00,235,676,285,5,1,"$28,84",$29,$32
SO43659,2017-07-01 00:00:00,344,676,285,5,1,"$2039,99",$2040,$1912
SO43659,2017-07-01 00:00:00,345,676,285,5,1,"$2039,99",$2040,$1912
SO43659,2017-07-01 00:00:00,346,676,285,5,2,"$2039,99",$4080,$3824
SO43659,2017-07-01 00:00:00,347,676,285,5,1,"$2039,99",$2040,$1912
SO43659,2017-07-01 00:00:00,349,676,285,5,1,"$2024,99",$2025,$1898
SO43659,2017-07-01 00:00:00,350,676,285,5,3,"$2024,99",$6075,$5694
SO43659,2017-07-01 00:00:00,351,676,285,5,1,"$2024,99",$2025,$1898
SO43660,2017-07-01 00:00:00,319,117,285,5,1,"$874,79",$875,$885
SO43660,2017-07-01 00:00:00,326,117,285,5,1,"$419,46",$419,$413
SO43661,2017-07-02 00:00:00,215,442,288,6,5,"$20,19",$101,$60
SO43661,2017-07-02 00:00:00,220,442,288,6,2,"$20,19",$40,$24
SO43661,2017-07-02 00:00:00,223,442,288,6,4,"$5,19",$21,$23
SO43661,2017-07-02 00:00:00,232,442,288,6,4,"$28,84",$115,$127
SO43661,2017-07-02 00:00:00,235,442,288,6,2,"$28,84",$58,$63
SO43661,2017-07-02 00:00:00,292,442,288,6,2,"$818,70",$1637,$1414
SO43661,2017-07-02 00:00:00,293,442,288,6,2,"$722,59",$1445,$1248
SO43661,2017-07-02 00:00:00,296,442,288,6,1,"$714,70",$715,$617
SO43661,2017-07-02 00:00:00,300,442,288,6,1,"$809,76",$810,$699
SO43661,2017-07-02 00:00:00,304,442,288,6,2,"$714,70",$1429,$1234
SO43661,2017-07-02 00:00:00,346,442,288,6,2,"$2039,99",$4080,$3824
SO43661,2017-07-02 00:00:00,348,442,288,6,3,"$2024,99",$6075,$5694
SO43661,2017-07-02 00:00:00,349,442,288,6,4,"$2024,99",$8100,$7592
SO43661,2017-07-02 00:00:00,350,442,288,6,2,"$2024,99",$4050,$3796
SO43661,2017-07-02 00:00:00,351,442,288,6,2,"$2024,99",$4050,$3796
SO43662,2017-07-03 00:00:00,253,227,288,6,3,"$178,58",$536,$529
SO43662,2017-07-03 00:00:00,262,227,288,6,3,"$183,94",$552,$544
SO43662,2017-07-03 00:00:00,264,227,288,6,1,"$183,94",$184,$181
SO43662,2017-07-03 00:00:00,270,227,288,6,1,"$183,94",$184,$181
SO43662,2017-07-03 00:00:00,272,227,288,6,2,"$183,94",$368,$363
SO43662,2017-07-03 00:00:00,275,227,288,6,1,"$356,90",$357,$352
SO43662,2017-07-03 00:00:00,276,227,288,6,1,"$356,90",$357,$352
SO43662,2017-07-03 00:00:00,285,227,288,6,1,"$178,58",$179,$176
SO43662,2017-07-03 00:00:00,310,227,288,6,1,"$2146,96",$2147,$2171
SO43662,2017-07-03 00:00:00,314,227,288,6,1,"$2146,96",$2147,$2171
SO43662,2017-07-03 00:00:00,315,227,288,6,4,"$874,79",$3499,$3539
SO43662,2017-07-03 00:00:00,316,227,288,6,1,"$874,79",$875,$885
SO43662,2017-07-03 00:00:00,317,227,288,6,1,"$874,79",$875,$885
SO43662,2017-07-03 00:00:00,319,227,288,6,6,"$874,79",$5249,$5308
