InvoiceID,SupplierID,POID,InvoiceDate,Amount,AmountEUR,Status,Currency,EUR_PLN,EUR_USD,FX_to_EUR_Inv,PaymentID,PaymentDate,PaymentAmount,PaymentAmountEUR
INV700000,89,PO700000,2022-06-01,44058.74,40002.49,Matched,USD,4.3528,1.1014,0.9079353550027238,PAY700000,2022-07-09,44058.74,41459.25
INV700001,158,PO700001,2023-12-02,31756.98,7482.09,Matched,PLN,4.2444,1.1154,0.2356045613043068,PAY700001,2024-01-15,31756.98,7462.92
INV700003,232,PO700003,2023-12-14,843235.42,196037.43,Mismatch,PLN,4.3014,1.0858,0.232482447575208,PAY700003,2024-01-05,830586.89,195211.73
INV700004,39,PO700004,2023-09-09,97941.12,22447.6,Matched,PLN,4.3631,1.0748,0.2291948385322362,PAY700004,2023-10-12,97941.12,22741.04
INV700005,181,PO700005,2023-09-06,162545.84,162545.84,Matched,EUR,4.3285,1.0838,1.0,PAY700005,2023-10-10,162545.84,162545.84
INV700006,24,PO700006,2023-01-01,549935.92,127639.76,Matched,PLN,4.3085,1.0993,0.2320993385168852,PAY700006,2023-02-06,549935.92,128411.69
INV700007,80,PO700007,2023-10-21,146444.39,146444.39,Matched,EUR,4.3502,1.1122,1.0,PAY700007,2023-12-01,146444.39,146444.39
INV700008,131,PO700008,2023-09-25,9028.88,9028.88,Matched,EUR,4.339,1.1219,1.0,PAY700008,2023-10-29,9028.88,9028.88
INV700009,190,PO700009,2024-03-08,160571.16,37280.57,Matched,PLN,4.3071,1.1117,0.2321747811752687,PAY700009,2024-04-20,160571.16,36628.3
INV700010,129,PO700010,2024-03-05,250966.84,57867.79,Matched,PLN,4.3369,1.0728,0.2305794461481703,PAY700010,2024-04-24,250966.84,58709.81
INV700011,126,PO700011,2024-08-06,596413.8,140253.46,Matched,PLN,4.2524,1.11,0.2351613206659768,PAY700011,2024-09-26,596413.8,139983.52
INV700012,182,PO700012,2022-06-01,234249.03,212682.98,Mismatch,USD,4.3528,1.1014,0.9079353550027238,PAY700012,2022-07-30,234249.03,216676.56
INV700013,133,PO700013,2023-02-05,54361.06,54361.06,Matched,EUR,4.2264,1.0828,1.0,PAY700013,2023-03-11,54361.06,54361.06
INV700015,214,PO700015,2022-06-29,156578.08,156578.08,Matched,EUR,4.3208,1.0729,1.0,PAY700015,2022-08-05,156578.08,156578.08
INV700016,60,PO700016,2024-12-09,102110.94,93783.01,Matched,USD,4.2895,1.0888,0.9184423218221895,PAY700016,2025-02-06,102110.94,
INV700018,69,PO700018,2023-03-05,263703.52,61564.07,Matched,PLN,4.2834,1.077,0.2334594014100947,PAY700018,2023-04-02,263703.52,60915.57
INV700019,23,PO700019,2023-02-13,98220.41,98220.41,Mismatch,EUR,4.265,1.0992,1.0,PAY700019,2023-03-15,96747.1,96747.1
INV700020,79,PO700020,2025-01-23,237332.9,,Matched,USD,,,,PAY700020,2025-03-18,237332.9,
INV700021,168,PO700021,2022-04-28,110792.03,110792.03,Matched,EUR,4.3158,1.0919,1.0,PAY700021,2022-06-15,110792.03,110792.03
INV700023,197,PO700023,2022-04-03,643585.48,153147.13,Matched,PLN,4.2024,1.0386,0.2379592613744527,PAY700023,2022-06-06,643585.48,151005.51
INV700024,65,PO700024,2022-12-26,458723.27,107922.19,Matched,PLN,4.2505,1.0931,0.2352664392424421,PAY700024,2023-01-25,458723.27,111221.82
INV700025,66,PO700025,2022-10-22,107214.97,25502.48,Matched,PLN,4.2041,1.1079,0.2378630384624533,PAY700025,2022-12-21,107214.97,25146.58
INV700026,231,PO700026,2024-07-03,386048.84,89595.44,Matched,PLN,4.3088,1.1079,0.2320831786112142,PAY700026,2024-08-27,386048.84,89423.19
INV700027,82,PO700027,2023-03-18,308264.36,308264.36,Matched,EUR,4.3498,1.0501,1.0,PAY700027,2023-05-21,308264.36,308264.36
INV700029,64,PO700029,2023-09-25,125172.09,28848.14,Matched,PLN,4.339,1.1219,0.2304678497349619,PAY700029,2023-11-13,125172.09,29162.01
INV700030,193,PO700030,2025-04-11,118270.84,,Matched,USD,,,,PAY700030,2025-05-04,118270.84,
INV700031,141,PO700031,2023-07-15,188481.77,188481.77,Matched,EUR,4.3384,1.0783,1.0,PAY700031,2023-09-03,184712.13,184712.13
INV700032,123,PO700032,2024-03-03,178119.49,178119.49,Matched,EUR,4.3423,1.0848,1.0,PAY700032,2024-04-27,178119.49,178119.49
INV700033,225,PO700033,2022-05-06,248792.88,222593.61,Matched,USD,4.2842,1.1177,0.8946944618412813,PAY700033,2022-07-06,248792.88,231134.23
INV700034,69,PO700034,2023-02-01,448571.43,105598.4,Matched,PLN,4.2479,1.1129,0.2354104380988253,PAY700034,2023-03-12,448571.43,105295.99
INV700035,95,PO700035,2022-08-16,48186.66,11347.38,Matched,PLN,4.2465,1.116,0.2354880489815141,PAY700035,2022-10-09,48186.66,11235.73
INV700036,209,PO700036,2024-09-12,71699.96,67241.83,Matched,USD,4.3022,1.0663,0.937822376441902,PAY700036,2024-10-13,71699.96,67501.37
INV700037,223,PO700037,2022-04-27,134637.15,134637.15,Matched,EUR,4.286,1.0662,1.0,PAY700037,,,
