POID,Line,ReceiptDate,QtyReceived,OnTimeFlag
PO700000,1,2022-05-29,11,False
PO700001,1,2023-11-29,7,False
PO700001,1,2023-11-30,10,False
PO700001,2,2023-11-25,158,False
PO700002,1,2022-03-13,3,False
PO700003,1,2023-11-25,2,False
PO700003,2,2023-09-25,18,True
PO700003,3,2023-11-02,252,False
PO700003,4,2023-11-01,7,True
PO700003,5,2023-12-05,58,False
PO700003,5,2023-12-06,43,False
PO700003,6,2023-10-28,127,False
PO700004,1,2023-08-31,192,False
PO700005,1,2023-08-09,4,False
PO700005,2,2023-08-08,6,False
PO700005,3,2023-08-24,19,False
PO700005,3,2023-08-29,9,False
PO700005,4,2023-07-30,28,True
PO700005,5,2023-08-17,4,False
PO700005,6,2023-06-21,30,True
PO700006,1,2022-11-11,29,False
PO700006,1,2022-11-21,27,False
PO700006,2,2022-11-22,12,False
PO700006,3,2022-12-22,35,False
PO700006,4,2022-12-16,16,False
PO700007,1,2023-10-21,10,False
PO700007,2,2023-08-22,12,True
PO700007,2,2023-08-23,8,True
PO700007,3,2023-08-14,15,True
PO700007,3,2023-08-21,21,True
PO700007,4,2023-09-06,11,True
PO700007,5,2023-09-03,29,True
PO700008,1,2023-09-19,161,True
PO700009,1,2024-01-27,8,True
PO700009,2,2024-02-28,94,False
PO700009,2,2024-03-07,118,False
PO700009,3,2024-02-06,12,True
PO700010,1,2024-03-03,30,False
PO700010,2,2023-12-04,10,True
PO700010,3,2024-02-01,18,False
PO700011,1,2024-05-25,25,False
PO700011,2,2024-07-20,12,False
PO700011,2,2024-07-22,6,False
PO700011,3,2024-08-04,3,True
PO700011,4,2024-06-30,56,False
PO700011,5,2024-06-25,1,True
PO700011,6,2024-06-05,11,True
PO700012,1,2022-03-24,4,False
PO700012,2,2022-05-24,112,False
PO700012,3,2022-03-26,32,True
PO700012,4,2022-03-15,223,True
PO700012,5,2022-05-13,10,False
PO700013,1,2023-02-04,81,True
PO700013,2,2023-01-31,14,False
PO700014,1,2023-06-24,17,False
